id,latitude,longitude
35204515,43.6850846276,-79.4351986801
35210121,43.7180928872,-79.7073758158
35211089,43.7111664819,-79.6473530288
35190285,43.8175887828,-79.4555644234
35210989,43.6322784188,-79.594031292
35201851,43.7298713315,-79.5787225297
35202584,43.7811046866,-79.4275631754
35211520,43.5726238606,-79.7081188052
35203079,43.7323182445,-79.6028033342
35202057,43.7608458539,-79.5257472582
35201011,43.6650692829,-79.4333684728
35191099,43.7937667207,-79.5540543774
35201594,43.6080121252,-79.5330026266
35204442,43.6923465162,-79.4986233125
35212005,43.5981185185,-79.6949445908
35212083,43.6253040247,-79.5870339742
35202228,43.6947308085,-79.4370284835
35201257,43.6705545539,-79.5002604405
35201793,43.7000934191,-79.5547328353
35191328,43.8279659262,-79.5958320097
35204254,43.7589230113,-79.5156053938
35202286,43.7091432776,-79.4562506565
35211464,43.581634849,-79.6442827568
35201625,43.6463509682,-79.5830085791
35201616,43.6358121652,-79.5779790049
35204193,43.7781958773,-79.4646250539
35201548,43.6117272255,-79.4938468053
35203136,43.6316102488,-79.4925403817
35204511,43.6928949386,-79.4319967567
35201711,43.6692069071,-79.5577856564
35201147,43.6730992795,-79.4450636757
35202998,43.6874950752,-79.5318167322
35204422,43.7064002513,-79.5093013258
35211421,43.6196450269,-79.5880020087
35212122,43.6510960633,-79.721183535
35211524,43.5911224512,-79.6874790452
35201861,43.7429779891,-79.5729064603
35211518,43.5712632083,-79.7170725762
35201543,43.6070058635,-79.4972149304
35190279,43.8034164495,-79.4574546004
35203059,43.7488746217,-79.588278565
35201575,43.5932550726,-79.531287471
35210791,43.5894803077,-79.5859571632
35201200,43.6829606001,-79.4690694909
35202108,43.7540912409,-79.4558891576
35202094,43.7254777477,-79.533003352
35200987,43.6687414721,-79.4237642435
35204418,43.7065403767,-79.5194174555
35202252,43.6907863661,-79.4343877999
35202075,43.7397735514,-79.5222196778
35190255,43.7876915,-79.5638787049
35211886,43.7903906772,-79.6721847239
35211816,43.6062724681,-79.6946362852
35202999,43.6890332121,-79.5371248943
35201191,43.68605778,-79.463955893
35201394,43.6854101038,-79.4747977167
35201199,43.6809611717,-79.4688757049
35201902,43.7444521352,-79.5399830892
35204135,43.6598763547,-79.429837898
35200993,43.6690147666,-79.4292417164
35202137,43.7209474259,-79.4473462097
35202100,43.7661089327,-79.461145883
35201877,43.7519299076,-79.5691350272
35210273,43.6034305701,-79.6695195792
35201647,43.6429414838,-79.5551017903
35204155,43.6742641023,-79.4256707013
35204315,43.7741180712,-79.4210451235
35200999,43.6676991219,-79.4373222529
35201879,43.7563009465,-79.575670883
35201355,43.6503599693,-79.4466458694
35202971,43.7013661758,-79.5298678723
35201381,43.6691332818,-79.473858158
35210766,43.5722960404,-79.6125723503
35204168,43.7438892003,-79.5201638032
35211931,43.6170883115,-79.7003368598
35202025,43.7518840895,-79.5016910221
35210976,43.6197506947,-79.5949697805
35202089,43.7207658839,-79.5028370339
35202953,43.7408019395,-79.441702953
35201352,43.6472688978,-79.4466166168
35201214,43.6944603597,-79.4778504861
35204034,43.7418669177,-79.4909922246
35201698,43.6658158488,-79.5226884727
35201744,43.6478905535,-79.5661005476
35210758,43.5724108793,-79.5891391773
35201542,43.6063990704,-79.4924303117
35202977,43.6859542707,-79.5265605338
35191070,43.8126550817,-79.6034933818
35201741,43.6495703092,-79.5525730952
35200955,43.6593780785,-79.4470635257
35210262,43.6117473287,-79.6890598247
35202188,43.7113975965,-79.4730026919
35202517,43.7945830123,-79.4328067376
35202409,43.7567327981,-79.4380046515
35201860,43.7439644401,-79.5755455348
35201371,43.6600981916,-79.4616184057
35202940,43.7049441432,-79.4200632899
35211068,43.726214424,-79.6326063974
35212020,43.7759522863,-79.6798082088
35211024,43.6127699961,-79.6496264404
35191072,43.8136835568,-79.6109458741
35201758,43.6705810325,-79.5791446648
35210896,43.5705124259,-79.6485818458
35201722,43.6818253596,-79.5650626286
35201850,43.7265126756,-79.5783763142
35204662,43.6389424363,-79.4359816758
35204161,43.6529208048,-79.4208091466
35210316,43.6169471448,-79.6204016105
35190334,43.7994904295,-79.4459777664
35202573,43.7658528912,-79.4369383945
35201731,43.6626296494,-79.569685186
35204403,43.7047208187,-79.5063628854
35210280,43.5990049483,-79.6534005493
35204427,43.7062846585,-79.5342133988
35204480,43.7204848223,-79.6000489146
35210844,43.5762580629,-79.6407548421
35210970,43.6168017295,-79.5906279957
35201755,43.6634616753,-79.5797513774
35212100,43.6189837496,-79.6667288826
35202261,43.702993826,-79.4289060843
35210310,43.6067571918,-79.6068681223
35202968,43.6934727537,-79.524713855
35204147,43.674272499,-79.5004398899
35211923,43.604947121,-79.7023459182
35204791,43.7890767123,-79.4418161662
